"category","source","name","cause","death"
"writers","http://www.wikidata.org/entity/Q15456881","Albrecht Steinwachs",,"2012-12-28T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q3608988","Alcide Paolini",,"2016-11-01T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q16487479","Alcides Abreu",,"2015-07-21T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q460397","Alda Noni",,"2011-05-19T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q4713866","Aldo Barbero",,"2013-10-27T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q3609122","Aldo Bello",,"2011-12-26T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q3609143","Aldo Braibanti",,"2014-04-06T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q3609189","Aldo Donà",,"2011-10-29T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q3609188","Aldo Donati",,"2014-08-24T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q3609251","Aldo Massasso",,"2013-10-10T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q2832322","Aldo Monti",,"2016-07-19T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q3609301","Aldo Ralli",,"2016-03-06T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q3609302","Aldo Reggiani",,"2013-09-26T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q4105784","Aldona Vederaitė",,"2012-06-20T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q5664664","Alejandra Da Passano",,"2014-06-30T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q5664712","Alejandra Podestá",,"2011-05-21T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q21000540","Alejandro Álvarez",,"2015-01-01T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q5664984","Alejandro Escudero",,"2014-10-19T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q5665361","Alejandro Parodi",,"2011-08-26T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q5665564","Alejandro Urdapilleta",,"2013-12-01T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q16330144","Alekos Kitsakis",,"2015-02-02T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q12748232","Aleksandar Хrnjaković",,"2014-07-01T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q9145185","Aleksander Bednarz",,"2013-01-27T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q9145386","Aleksander Ford",,"2012-10-07T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q12110503","Aleksander Klimchuk",,"2015-07-07T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q12784218","Aleksander Valič",,"2015-10-26T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q4064123","Aleksandr Amelin",,"2012-07-19T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q4066301","Aleksandr Anisimov",,"2012-07-16T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q17908323","Aleksandr Arapov",,"2011-06-14T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q4088260","Aleksandr Blok",,"2015-04-18T00:00:00Z"
